step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
1074,211,84,13,11,99
1075,212,83,13,11,100
1076,212,84,13,11,100
1077,212,84,13,11,100
1078,211,84,14,11,99
1079,210,84,15,11,98
1080,210,84,15,11,98
1081,209,84,16,11,97
1082,210,84,16,11,97
1083,210,84,16,11,97
1084,210,84,16,11,97
1085,210,85,16,11,97
1086,210,85,16,11,97
1087,210,85,16,11,97
1088,210,87,16,11,97
1089,210,87,16,11,97
1090,210,88,16,11,97
1091,209,88,17,11,95
1092,210,87,17,11,96
1093,209,88,18,11,94
1094,210,88,18,11,94
1095,210,88,18,11,94
1096,211,87,18,11,95
1097,211,87,18,11,95
1098,211,89,18,11,95
1099,213,87,18,11,96
1100,214,86,18,11,97
1101,215,86,18,11,96
1102,215,86,18,11,96
1103,215,86,18,11,96
1104,215,87,18,11,96
1105,215,87,18,11,94
1106,215,87,18,11,94
1107,215,86,19,11,94
1108,215,86,19,11,94
1109,215,86,19,11,94
1110,215,86,19,11,94
1111,216,85,19,11,95
1112,217,84,19,11,96
1113,217,84,19,11,96
1114,217,85,19,11,96
1115,217,85,19,11,96
1116,217,85,19,11,96
1117,217,85,19,11,96
1118,217,84,20,11,95
1119,217,84,20,11,95
1120,217,85,20,11,95
1121,217,85,20,11,95
1122,217,85,20,11,95
1123,218,84,20,11,96
1124,219,83,20,11,96
1125,220,82,20,11,97
1126,220,82,20,11,97
1127,220,82,20,11,97
1128,221,80,21,11,97
1129,221,81,21,11,97
1130,221,81,21,11,97
1131,221,81,21,11,95
1132,222,80,21,11,96
1133,222,80,21,11,96
1134,222,80,21,11,96
1135,222,81,21,11,96
1136,222,81,21,11,96
